ISBN,avg_rating,num_ratings,weighted_rating
0439139597,9.262773722627736,137,9.018883696386428
0345339738,9.402597402597403,77,8.980596783348663
043935806X,9.033980582524272,206,8.88713163094876
0439136369,9.082706766917294,133,8.86012914088035
059035342X,8.939297124600639,313,8.845816840113397
0439136350,9.035460992907801,141,8.830547121928575
0446310786,8.94392523364486,214,8.811093592933675
0345339711,9.120481927710843,83,8.785423131945933
0590353403,8.983193277310924,119,8.755526399428076
0439425220,9.869565217391305,23,8.724261172727974
0439139600,8.954545454545455,110,8.716718471031456
043936213X,9.20754716981132,53,8.714808767769023
0439064864,8.920634920634921,126,8.713601834121432
0064400557,9.073529411764707,68,8.696089946937118
0618002235,9.72,25,8.694699492208468
0439064872,8.783068783068783,189,8.652771244686456
0345339703,8.83969465648855,131,8.651872742698162
0441172717,8.973333333333333,75,8.646871465840555
0812550706,8.837606837606838,117,8.631491312895141
0140143505,9.464285714285714,28,8.616159136888747
0836220889,9.583333333333334,24,8.605005731629475
0345339681,8.73913043478261,161,8.594812297936297
0060256656,9.75,20,8.591824434504883
0440498058,8.876543209876543,81,8.590859763030616
039480001X,9.3125,32,8.590004912825265
0877017883,9.0625,48,8.583892709975206
0618002227,9.093023255813954,43,8.567765300271862
0451524934,8.772277227722773,101,8.55232220094572
0156528207,8.980392156862745,51,8.547203668242865
067168390X,9.212121212121213,33,8.54456623014412
0743454529,9.545454545454545,22,8.544353806917714
0345348036,8.837837837837839,74,8.541227297124642
0060256672,9.4,25,8.531434186086017
0836218221,9.6,20,8.523642616323064
0385484518,8.615,200,8.50910837106346
055321313X,8.90566037735849,53,8.507016559976817
0553213148,8.956521739130435,46,8.500575358831641
0345342968,8.628048780487806,164,8.500214229352208
0345361792,8.607734806629834,181,8.49287939082056
0385199570,9.025641025641026,39,8.492702779654204
0553274325,9.391304347826088,23,8.490218619536487
0156012197,9.391304347826088,23,8.490218619536487
0446365386,8.976190476190476,42,8.485458713912346
0618002219,9.0,39,8.476829763781188
0140042393,9.129032258064516,31,8.473459547603905
0920668372,9.28,25,8.470209696290098
0618129022,9.0,38,8.468391534164756
0440219078,8.663366336633663,101,8.46432220094572
0380813815,8.78688524590164,61,8.459297354331941
0836218620,9.24,25,8.449801533024793
0553296981,8.7012987012987,77,8.445943318002127
0836213319,9.923076923076923,13,8.433520949140942
0380002930,8.62,100,8.42774415417915
0836204387,9.26086956521739,23,8.426388832302443
0618002243,9.625,16,8.426006877955372
006092988X,8.971428571428572,35,8.424411442681608
0440174643,9.333333333333334,21,8.42311722484922
0394800389,9.785714285714286,14,8.422112503110917
0440343194,9.068965517241379,29,8.415854247513487
1880418568,9.272727272727273,22,8.413919024309019
0345350499,8.63855421686747,83,8.411591356245
0440414806,8.657894736842104,76,8.410402751182147
0836217691,9.35,20,8.410006252686701
0066238501,9.444444444444445,18,8.405720836147971
0440212561,8.58095238095238,105,8.403412985412519
0385504209,8.435318275154003,487,8.397339090250908
0142001740,8.452768729641694,307,8.392870921807296
193156146X,9.12,25,8.388577043228874
0836221362,9.3,20,8.38727897995943
0671617028,8.694915254237289,59,8.38602741106283
0312265867,8.701754385964913,57,8.383213273064381
0070212570,8.593023255813954,86,8.382184319256499
0142004235,8.63768115942029,69,8.376777151808762
0811824829,9.5,16,8.376006877955371
0836218787,9.125,24,8.37583906496281
0440217563,8.790697674418604,43,8.373735449525594
1888054557,10.0,11,8.372579289091853
0060915544,8.521367521367521,117,8.36907996537741
0440998050,8.597402597402597,77,8.366735397210048
0330262130,8.882352941176471,34,8.362763364107153
0060935464,9.038461538461538,26,8.360805502364297
